TOTAL_BAJO_RENDIMIENTO_REA,DESERTA,GENERO,UBICACION_SEMESTRAL,MEDIO_TRANSPORTE,FRECUENCIA_TRANSPORTE,FUENTES_FINANCIACION,PERSONAS_A_CARGO,DIFICULTAD_PAGO_MATRICULA,TURNO_TRABAJO_ESTUDIO,TIPO_VIVIENDA_RESIDENCIA,ZONA_VIVIENDA_RESIDENCIA,VIVE_PADRES_FAMILIAR,SISBEN,NUM_HIJOS,VIVE_PERSONAS_MAYORES,VIVE_PERSONAS_PATOLOGIAS,VICTIMA_VIOLENCIA,FRECUENCIA_USO_CANALES_ATENCION,ORIENTACION_CAT,COMUNA,NIV_EDUCATIVO_PADRE_CAT,NIV_EDUCATIVO_MADRE_CAT,ES_VULNERABLE,ES_GRUPO_ETNICO,GRUPO_ETNICO_CAT,HORAS_FUERA_CASA,RECURSOS_TECNOLOGICOS,HERMANOS_CAT,CARGA_LABORAL,CARGA_HOGAR,CONDICION_DISCAPACIDAD,HABITOS_RIESGO,IMC_CAT,CIENCIAS BÁSICAS_bin,CIENCIAS BÁSICAS DE INGENIERÍA_bin,INGENIERÍA APLICADA_bin,INSTITUCIONAL_bin
9,0,F,9,Servicio público,Baja frecuencia,Recursos propios,CON_CARGAS,Si,Diurno,Arrendada,Zona urbana,Si,Si,0,No,No,No,Casi nunca,No responde,Municipios Aledaños,Básica,Básica,No,No,No étnico,BAJO,COMPLETOS,POCOS_1_2,NO_TRABAJA,CON_NINOS_1_2,COGNITIVA,NINGUNO,NORMAL,3–3.99,3–3.99,2–2.99,3–3.99
1,0,M,9,A pie,Baja frecuencia,Beca,SIN_CARGAS,Si,Diurno,Arrendada,Zona urbana,Si,Si,0,No,No,No,Con poca frecuencia,Heterosexual,Comuna Occidental,Media,Media,No,No,No étnico,BAJO,COMPLETOS,VARIOS_3_MAS,NO_TRABAJA,HOGAR_SIN_NINOS,COGNITIVA,NINGUNO,NORMAL,3–3.99,4–5,4–5,4–5
4,1,M,9,A pie,Baja frecuencia,Recursos propios,SIN_CARGAS,Si,Diurno,Arrendada,Zona urbana,Si,Si,0,No,No,No,Frecuentemente,No responde,Comuna Oriental,Media,Básica,No,No,No étnico,MEDIO,BASICOS,VARIOS_3_MAS,NO_TRABAJA,CON_NINOS_1_2,COGNITIVA,NINGUNO,NORMAL,4–5,4–5,3–3.99,3–3.99
4,0,F,9,Servicio público,Baja frecuencia,Otro / No aplica,CON_CARGAS,Si,Diurno,Arrendada,Zona urbana,No,No,2,No,No,No responde,Con poca frecuencia,No responde,Comuna Norte,Básica,Básica,Sí,No,No étnico,BAJO,COMPLETOS,VARIOS_3_MAS,NO_TRABAJA,CON_NINOS_1_2,COGNITIVA,NINGUNO,NORMAL,Sin nota,3–3.99,3–3.99,3–3.99
2,0,M,9,Servicio público,Baja frecuencia,Recursos propios,SIN_CARGAS,Si,Mixto,Arrendada,Zona urbana,Si,Si,0,No,No,Si,Frecuentemente,No responde,Municipios Aledaños,Media,Media,Sí,No,No étnico,MEDIO,COMPLETOS,VARIOS_3_MAS,NO_TRABAJA,HOGAR_SIN_NINOS,COGNITIVA,BAJO,BAJO_PESO,3–3.99,3–3.99,3–3.99,4–5
4,0,M,6,Servicio público,Baja frecuencia,Otro / No aplica,SIN_CARGAS,Si,Diurno,Arrendada,Zona rural,Si,Si,0,Si,No,No responde,Casi nunca,No responde,Municipios Aledaños,Básica,Media,No,No,No étnico,BAJO,BASICOS,VARIOS_3_MAS,NO_TRABAJA,CON_NINOS_1_2,COGNITIVA,NINGUNO,NORMAL,3–3.99,3–3.99,3–3.99,3–3.99
7,0,M,9,A pie,Alta frecuencia,Recursos propios,CON_CARGAS,Si,Mixto,Propia pagada,Zona urbana,Si,Si,0,Si,No,No,Casi nunca,Heterosexual,Comuna Sur Occidental,Básica,Media,No,No,No étnico,ALTO,COMPLETOS,POCOS_1_2,PARCIAL_1_20,HOGAR_SIN_NINOS,COGNITIVA,NINGUNO,NORMAL,3–3.99,3–3.99,3–3.99,3–3.99
0,0,F,8,Servicio público,Baja frecuencia,Crédito,SIN_CARGAS,Si,Diurno,Propia pagada,Zona urbana,Si,Si,0,Si,No,No,Frecuentemente,No responde,Comuna Sur Occidental,Básica,Básica,No,No,No étnico,MEDIO,COMPLETOS,VARIOS_3_MAS,NO_TRABAJA,HOGAR_SIN_NINOS,COGNITIVA,NINGUNO,BAJO_PESO,3–3.99,3–3.99,4–5,4–5
10,0,M,9,Servicio público,Alta frecuencia,Recursos propios,CON_CARGAS,Si,Mixto,Arrendada,Zona urbana,Si,Si,0,Si,No,No,Con poca frecuencia,Heterosexual,Municipios Aledaños,Media,Básica,No,No,No étnico,ALTO,BASICOS,POCOS_1_2,ALTA_>20,CON_NINOS_1_2,COGNITIVA,ALTO,SOBREPESO,2–2.99,3–3.99,3–3.99,3–3.99
1,0,M,9,A pie,Baja frecuencia,Recursos propios,CON_CARGAS,Si,Diurno,Arrendada,Zona urbana,Si,No,1,Si,No,No responde,Casi nunca,No responde,Comuna Sur Occidental,Media,Media,No,No,No étnico,ALTO,COMPLETOS,VARIOS_3_MAS,NO_TRABAJA,HOGAR_SIN_NINOS,COGNITIVA,NINGUNO,SOBREPESO,4–5,3–3.99,3–3.99,3–3.99
2,0,M,9,Servicio público,Alta frecuencia,Recursos propios,CON_CARGAS,Si,Diurno,Arrendada,Zona urbana,Si,Si,1,Si,No,No,Casi nunca,No responde,Municipios Aledaños,Media,Básica,Sí,Sí,Étnico,MEDIO,COMPLETOS,POCOS_1_2,NO_TRABAJA,CON_NINOS_3_MAS,COGNITIVA,NINGUNO,NORMAL,3–3.99,2–2.99,3–3.99,3–3.99
5,0,M,9,A pie,Alta frecuencia,Recursos propios,SIN_CARGAS,Si,Diurno,Propia pagandose,Zona urbana,Si,Si,0,No,No,No,Con poca frecuencia,Heterosexual,Comuna Oriental,Media,Superior,No,No,No étnico,ALTO,COMPLETOS,NINGUNO,NO_TRABAJA,HOGAR_SIN_NINOS,COGNITIVA,NINGUNO,BAJO_PESO,3–3.99,3–3.99,3–3.99,3–3.99
1,0,M,9,A pie,Baja frecuencia,Recursos propios,SIN_CARGAS,No,Diurno,Arrendada,Zona urbana,Si,Si,0,Si,No,No,Casi nunca,No responde,Comuna Occidental,Superior,Básica,No,No,No étnico,ALTO,COMPLETOS,NINGUNO,NO_TRABAJA,HOGAR_SIN_NINOS,COGNITIVA,NINGUNO,BAJO_PESO,4–5,4–5,4–5,4–5
2,0,M,9,Servicio público,Otro,Recursos propios,SIN_CARGAS,Si,Mixto,Propia pagandose,Zona urbana,Si,Si,0,Si,No,No,Frecuentemente,Heterosexual,Comuna Norte,Media,Básica,No,No,No étnico,ALTO,BASICOS,VARIOS_3_MAS,NO_TRABAJA,HOGAR_SIN_NINOS,COGNITIVA,NINGUNO,NORMAL,3–3.99,3–3.99,3–3.99,3–3.99
2,0,M,9,Bicicleta,Baja frecuencia,Recursos propios,SIN_CARGAS,No,Mixto,Propia pagada,Zona rural,Si,Si,0,Si,No,No,Con poca frecuencia,Heterosexual,Municipios Aledaños,Media,Media,Sí,No,No étnico,MEDIO,COMPLETOS,POCOS_1_2,NO_TRABAJA,HOGAR_SIN_NINOS,COGNITIVA,NINGUNO,NORMAL,3–3.99,3–3.99,4–5,3–3.99
1,0,M,9,A pie,Baja frecuencia,Recursos propios,CON_CARGAS,Si,Diurno,Arrendada,Zona urbana,Si,No,0,No,No,No,Casi nunca,Heterosexual,Comuna Centro,Media,Media,No,No,No étnico,BAJO,COMPLETOS,VARIOS_3_MAS,ALTA_>20,HOGAR_SIN_NINOS,COGNITIVA,NINGUNO,NORMAL,3–3.99,3–3.99,3–3.99,3–3.99
5,0,M,9,A pie,Baja frecuencia,Recursos propios,SIN_CARGAS,Si,Diurno,Arrendada,Zona urbana,Si,No,0,No,No,No,Con poca frecuencia,Heterosexual,Comuna Sur Occidental,Básica,Media,No,No,No étnico,BAJO,BASICOS,POCOS_1_2,NO_TRABAJA,HOGAR_SIN_NINOS,COGNITIVA,NINGUNO,OBESIDAD,3–3.99,4–5,3–3.99,4–5
10,1,M,9,A pie,Baja frecuencia,Recursos propios,CON_CARGAS,No,Diurno,Arrendada,Zona urbana,Si,Si,0,Si,No,No,Con poca frecuencia,No responde,Comuna Sur Oriental,Básica,Básica,No,No,No étnico,ALTO,COMPLETOS,VARIOS_3_MAS,NO_TRABAJA,HOGAR_SIN_NINOS,COGNITIVA,NINGUNO,SOBREPESO,3–3.99,3–3.99,3–3.99,3–3.99
6,1,M,9,A pie,Baja frecuencia,Recursos propios,SIN_CARGAS,Si,Diurno,Arrendada,Zona urbana,Si,Si,0,Si,Sí,No,Casi nunca,Heterosexual,Comuna Occidental,Media,Superior,No,No,No étnico,ALTO,COMPLETOS,POCOS_1_2,ALTA_>20,SOLO_SIN_NINOS,COGNITIVA,NINGUNO,NORMAL,3–3.99,4–5,3–3.99,3–3.99
2,1,M,9,Servicio público,Baja frecuencia,Recursos propios,SIN_CARGAS,Si,Mixto,Propia pagada,Zona urbana,No,No,0,No,No,No,Nunca,No responde,Municipios Aledaños,Superior,Superior,Sí,No,No étnico,ALTO,BASICOS,POCOS_1_2,NO_TRABAJA,SOLO_SIN_NINOS,COGNITIVA,BAJO,SOBREPESO,3–3.99,3–3.99,3–3.99,3–3.99
2,0,M,9,A pie,Baja frecuencia,Recursos propios,SIN_CARGAS,No,Diurno,Arrendada,Zona urbana,No,No,0,No,No,No responde,Frecuentemente,No responde,Comuna Occidental,Superior,Superior,No,No,No reportado,MEDIO,COMPLETOS,VARIOS_3_MAS,NO_TRABAJA,SOLO_SIN_NINOS,MULTIPLE,BAJO,NORMAL,3–3.99,3–3.99,2–2.99,3–3.99
2,0,F,9,Servicio público,Baja frecuencia,Recursos propios,SIN_CARGAS,No,Diurno,Propia pagada,Zona rural,Si,Si,0,Si,No,No,Con poca frecuencia,No responde,Comuna Oriental,Básica,Básica,No,No,No étnico,MEDIO,COMPLETOS,POCOS_1_2,NO_TRABAJA,CON_NINOS_1_2,COGNITIVA,NINGUNO,SOBREPESO,3–3.99,3–3.99,3–3.99,4–5
5,0,M,9,Vehículo motorizado,Baja frecuencia,Recursos propios,SIN_CARGAS,Si,Diurno,Propia pagada,Zona urbana,Si,Si,0,Si,No,Si,Frecuentemente,Heterosexual,Comuna Norte,Básica,Media,Sí,No,No étnico,ALTO,COMPLETOS,POCOS_1_2,ALTA_>20,CON_NINOS_1_2,COGNITIVA,NINGUNO,NORMAL,3–3.99,3–3.99,3–3.99,3–3.99
1,0,M,9,A pie,Otro,Otro / No aplica,CON_CARGAS,Si,Nocturno,Arrendada,Zona rural,No,No,0,Si,No,Si,Nunca,No responde,Sin agrupar,Básica,Básica,Sí,No,No étnico,ALTO,BASICOS,VARIOS_3_MAS,PARCIAL_1_20,DESCONOCIDO,COGNITIVA,BAJO,NORMAL,3–3.99,3–3.99,3–3.99,3–3.99
0,1,M,5,Servicio público,Baja frecuencia,Otro / No aplica,SIN_CARGAS,No,Diurno,Propia pagandose,Zona urbana,Si,No,0,No,No,No,Casi nunca,No responde,Comuna Norte,Media,Media,No,No,No étnico,ALTO,COMPLETOS,POCOS_1_2,PARCIAL_1_20,SOLO_SIN_NINOS,COGNITIVA,NINGUNO,SOBREPESO,3–3.99,Sin nota,4–5,3–3.99
9,1,M,7,Servicio público,Baja frecuencia,Otro / No aplica,SIN_CARGAS,Si,Diurno,Arrendada,Zona rural,Si,No,0,Si,No,No,Con poca frecuencia,No responde,Comuna Sur Occidental,Básica,Media,Sí,No,No étnico,MEDIO,COMPLETOS,POCOS_1_2,NO_TRABAJA,HOGAR_SIN_NINOS,COGNITIVA,MODERADO,OBESIDAD,3–3.99,3–3.99,3–3.99,3–3.99
1,0,M,9,A pie,Alta frecuencia,Recursos propios,SIN_CARGAS,Si,Diurno,Propia pagandose,Zona urbana,Si,Si,0,No,No,No,Con poca frecuencia,Heterosexual,Comuna Oriental,Básica,Básica,No,No,No étnico,BAJO,COMPLETOS,VARIOS_3_MAS,ALTA_>20,HOGAR_SIN_NINOS,COGNITIVA,MODERADO,NORMAL,3–3.99,4–5,4–5,4–5
6,0,M,9,A pie,Baja frecuencia,Recursos propios,SIN_CARGAS,Si,Mixto,Arrendada,Zona urbana,Si,No,0,Si,No,Si,Casi nunca,Heterosexual,Comuna Sur Oriental,Básica,Básica,No,No,No étnico,ALTO,BASICOS,VARIOS_3_MAS,ALTA_>20,CON_NINOS_3_MAS,COGNITIVA,BAJO,NORMAL,3–3.99,3–3.99,3–3.99,3–3.99
2,0,M,9,Vehículo motorizado,Alta frecuencia,Recursos propios,SIN_CARGAS,No,Diurno,Arrendada,Zona urbana,Si,No,0,No,No,No,Con poca frecuencia,No responde,Comuna Norte,Media,Superior,No,No,No étnico,MEDIO,COMPLETOS,NINGUNO,NO_TRABAJA,HOGAR_SIN_NINOS,COGNITIVA,NINGUNO,NORMAL,3–3.99,3–3.99,3–3.99,3–3.99
5,1,M,9,A pie,Alta frecuencia,Recursos propios,CON_CARGAS,Si,Diurno,Arrendada,Zona urbana,No,Si,0,No,No,No,Casi nunca,No responde,Comuna Centro,Media,Superior,No,No,No étnico,ALTO,BASICOS,VARIOS_3_MAS,NO_TRABAJA,CON_NINOS_1_2,COGNITIVA,NINGUNO,SOBREPESO,Sin nota,3–3.99,3–3.99,2–2.99
6,1,F,9,Servicio público,Alta frecuencia,Otro / No aplica,SIN_CARGAS,No,Diurno,Arrendada,Zona rural,Si,Si,0,No,No,No,Con poca frecuencia,No responde,Municipios Aledaños,Básica,Media,No,No,No étnico,BAJO,COMPLETOS,NINGUNO,NO_TRABAJA,CON_NINOS_1_2,COGNITIVA,NINGUNO,NORMAL,3–3.99,3–3.99,3–3.99,3–3.99
2,0,M,8,Servicio público,Baja frecuencia,Recursos propios,SIN_CARGAS,No,Diurno,Propia pagada,Zona urbana,Si,No,0,No,No,No,Con poca frecuencia,No responde,Comuna Sur Oriental,Media,Media,No,No,No étnico,BAJO,COMPLETOS,POCOS_1_2,PARCIAL_1_20,CON_NINOS_1_2,COGNITIVA,NINGUNO,SOBREPESO,2–2.99,3–3.99,3–3.99,3–3.99
7,0,M,9,A pie,Otro,Recursos propios,CON_CARGAS,Si,Mixto,Propia pagada,Zona urbana,Si,No,0,Si,No,No,Frecuentemente,Heterosexual,Comuna Occidental,Superior,Media,No,No,No étnico,ALTO,COMPLETOS,POCOS_1_2,NO_TRABAJA,CON_NINOS_1_2,COGNITIVA,NINGUNO,BAJO_PESO,3–3.99,3–3.99,3–3.99,3–3.99
5,0,M,9,Vehículo motorizado,Otro,Recursos propios,SIN_CARGAS,Si,Diurno,Arrendada,Zona urbana,Si,Si,0,No,No,No,Con poca frecuencia,Heterosexual,Comuna Centro,Media,Superior,No,No,No étnico,ALTO,COMPLETOS,POCOS_1_2,NO_TRABAJA,SOLO_SIN_NINOS,COGNITIVA,NINGUNO,OBESIDAD,2–2.99,3–3.99,3–3.99,3–3.99
10,1,M,2,A pie,Alta frecuencia,Recursos propios,SIN_CARGAS,Si,Diurno,Propia pagada,Zona urbana,Si,Si,0,Si,No,No responde,Casi nunca,No responde,Comuna Centro,Media,Media,No,No,No reportado,ALTO,BASICOS,POCOS_1_2,NO_TRABAJA,CON_NINOS_1_2,MULTIPLE,NINGUNO,NORMAL,1–1.99,3–3.99,2–2.99,1–1.99
0,1,F,2,Bicicleta,Alta frecuencia,Beca,SIN_CARGAS,No,Diurno,Arrendada,Zona rural,Si,Si,0,Si,Sí,No,Frecuentemente,Heterosexual,Municipios Aledaños,Media,Superior,No,No,No étnico,ALTO,BASICOS,POCOS_1_2,NO_TRABAJA,CON_NINOS_1_2,SIN,NINGUNO,NORMAL,3–3.99,3–3.99,2–2.99,3–3.99
1,0,F,9,Servicio público,Baja frecuencia,Beca,SIN_CARGAS,Si,Diurno,Arrendada,Zona urbana,Si,Si,0,Si,No,No,Con poca frecuencia,No responde,Comuna Sur Occidental,Media,Media,No,No,No étnico,ALTO,COMPLETOS,POCOS_1_2,NO_TRABAJA,HOGAR_SIN_NINOS,COGNITIVA,MODERADO,NORMAL,3–3.99,3–3.99,4–5,3–3.99
1,0,M,9,A pie,Baja frecuencia,Beca,SIN_CARGAS,No,Diurno,Arrendada,Zona urbana,Si,Si,0,No,No,No,Con poca frecuencia,Heterosexual,Comuna Centro,Básica,Básica,No,No,No étnico,BAJO,COMPLETOS,VARIOS_3_MAS,NO_TRABAJA,CON_NINOS_1_2,COGNITIVA,NINGUNO,NORMAL,4–5,4–5,4–5,4–5
3,0,M,9,Servicio público,Baja frecuencia,Recursos propios,SIN_CARGAS,Si,Diurno,Arrendada,Zona urbana,No,Si,0,No,No,No,Con poca frecuencia,Heterosexual,Comuna Sur Occidental,Básica,Básica,No,No,No étnico,MEDIO,COMPLETOS,VARIOS_3_MAS,NO_TRABAJA,HOGAR_SIN_NINOS,COGNITIVA,ALTO,NORMAL,3–3.99,4–5,3–3.99,3–3.99
0,0,F,8,Vehículo motorizado,Baja frecuencia,Recursos propios,SIN_CARGAS,No,Diurno,Arrendada,Zona urbana,Si,No,0,No,No,No responde,Casi nunca,No responde,Comuna Occidental,Media,Superior,No,No,No étnico,BAJO,COMPLETOS,VARIOS_3_MAS,NO_TRABAJA,HOGAR_SIN_NINOS,COGNITIVA,NINGUNO,NORMAL,3–3.99,3–3.99,4–5,3–3.99
2,0,M,9,Servicio público,Baja frecuencia,Recursos propios,SIN_CARGAS,No,Diurno,Propia pagandose,Zona urbana,Si,No,0,No,No,No,Con poca frecuencia,Heterosexual,Comuna Sur Oriental,Superior,Superior,No,No,No étnico,BAJO,COMPLETOS,POCOS_1_2,NO_TRABAJA,HOGAR_SIN_NINOS,COGNITIVA,NINGUNO,NORMAL,3–3.99,3–3.99,3–3.99,4–5
3,0,F,9,A pie,Baja frecuencia,Beca,CON_CARGAS,Si,Diurno,Arrendada,Zona rural,No,No,0,No,No,No,Con poca frecuencia,No responde,Comuna Oriental,Media,Media,No,No,No étnico,MEDIO,BASICOS,POCOS_1_2,NO_TRABAJA,CON_NINOS_1_2,COGNITIVA,NINGUNO,NORMAL,2–2.99,4–5,3–3.99,3–3.99
2,0,F,9,Servicio público,Alta frecuencia,Recursos propios,CON_CARGAS,Si,Diurno,Arrendada,Zona rural,Si,Si,1,No,No,Si,Con poca frecuencia,Heterosexual,Municipios Aledaños,Superior,Media,Sí,No,No étnico,MEDIO,BASICOS,VARIOS_3_MAS,NO_TRABAJA,CON_NINOS_3_MAS,COGNITIVA,BAJO,NORMAL,3–3.99,3–3.99,3–3.99,4–5
3,0,M,9,Bicicleta,Alta frecuencia,Recursos propios,SIN_CARGAS,No,Diurno,Propia pagandose,Zona urbana,Si,No,0,Si,No,No,Con poca frecuencia,Heterosexual,Comuna Norte,Media,Superior,No,No,No étnico,ALTO,COMPLETOS,POCOS_1_2,NO_TRABAJA,CON_NINOS_1_2,COGNITIVA,NINGUNO,NORMAL,3–3.99,3–3.99,3–3.99,3–3.99
3,0,M,9,A pie,Baja frecuencia,Recursos propios,SIN_CARGAS,No,Nocturno,Arrendada,Zona urbana,Si,No,0,No,No,No,Casi nunca,Heterosexual,Comuna Occidental,Superior,Superior,No,No,No étnico,MEDIO,COMPLETOS,POCOS_1_2,NO_TRABAJA,CON_NINOS_1_2,COGNITIVA,BAJO,BAJO_PESO,3–3.99,3–3.99,3–3.99,3–3.99
9,1,M,9,Servicio público,Baja frecuencia,Recursos propios,SIN_CARGAS,Si,Diurno,Propia pagada,Zona rural,Si,No,0,Si,No,No,Casi nunca,Heterosexual,Municipios Aledaños,Básica,Media,No,No,No étnico,ALTO,BASICOS,POCOS_1_2,NO_TRABAJA,HOGAR_SIN_NINOS,COGNITIVA,BAJO,NORMAL,3–3.99,3–3.99,3–3.99,3–3.99
1,1,F,9,Servicio público,Baja frecuencia,Recursos propios,SIN_CARGAS,Si,Mixto,Arrendada,Zona rural,Si,Si,0,No,No,No,Casi nunca,No responde,Municipios Aledaños,Básica,Media,No,No,No étnico,ALTO,COMPLETOS,POCOS_1_2,NO_TRABAJA,CON_NINOS_1_2,COGNITIVA,NINGUNO,NORMAL,3–3.99,3–3.99,3–3.99,3–3.99
1,0,M,9,Servicio público,Baja frecuencia,Beca,SIN_CARGAS,Si,Diurno,Propia pagada,Zona urbana,Si,Si,0,No,No,No,Con poca frecuencia,Heterosexual,Municipios Aledaños,Básica,Básica,No,No,No étnico,ALTO,COMPLETOS,POCOS_1_2,ALTA_>20,HOGAR_SIN_NINOS,COGNITIVA,BAJO,BAJO_PESO,3–3.99,4–5,4–5,4–5
2,0,M,9,A pie,Alta frecuencia,Recursos propios,SIN_CARGAS,Si,Mixto,Arrendada,Zona urbana,Si,No,0,Si,No,No,Con poca frecuencia,Diversa,Comuna Occidental,Media,Media,Sí,No,No étnico,ALTO,COMPLETOS,VARIOS_3_MAS,NO_TRABAJA,SOLO_SIN_NINOS,COGNITIVA,BAJO,NORMAL,3–3.99,4–5,3–3.99,4–5
1,0,F,9,A pie,Baja frecuencia,Recursos propios,SIN_CARGAS,Si,Mixto,Propia pagada,Zona urbana,Si,No,0,No,No,No,Con poca frecuencia,No responde,Comuna Oriental,Superior,Superior,No,No,No étnico,ALTO,COMPLETOS,POCOS_1_2,NO_TRABAJA,CON_NINOS_1_2,COGNITIVA,NINGUNO,SOBREPESO,3–3.99,3–3.99,4–5,4–5
1,0,M,9,A pie,Alta frecuencia,Otro / No aplica,CON_CARGAS,Si,Mixto,Arrendada,Zona urbana,Si,No,1,No,No,No responde,Con poca frecuencia,No responde,Comuna Sur Occidental,Media,Media,No,No,No étnico,BAJO,COMPLETOS,NINGUNO,PARCIAL_1_20,HOGAR_SIN_NINOS,COGNITIVA,BAJO,NORMAL,3–3.99,3–3.99,3–3.99,4–5
2,0,M,9,Servicio público,Baja frecuencia,Recursos propios,SIN_CARGAS,Si,Diurno,Propia pagandose,Zona urbana,Si,No,0,No,No,No,Casi nunca,Heterosexual,Comuna Occidental,Superior,Superior,No,No,No étnico,MEDIO,COMPLETOS,NINGUNO,NO_TRABAJA,HOGAR_SIN_NINOS,COGNITIVA,NINGUNO,NORMAL,3–3.99,3–3.99,3–3.99,3–3.99
1,0,M,9,Servicio público,Baja frecuencia,Otro / No aplica,SIN_CARGAS,Si,Diurno,Propia pagada,Zona urbana,Si,Si,0,No,No,No,Con poca frecuencia,Heterosexual,Comuna Oriental,Básica,Media,No,No,No étnico,BAJO,COMPLETOS,VARIOS_3_MAS,NO_TRABAJA,HOGAR_SIN_NINOS,COGNITIVA,NINGUNO,NORMAL,3–3.99,4–5,3–3.99,4–5
8,1,M,4,A pie,Alta frecuencia,Beca,SIN_CARGAS,Si,Diurno,Arrendada,Zona urbana,Si,Si,0,No,No,No,Casi nunca,No responde,Comuna Centro,Básica,Básica,Sí,No,No étnico,MEDIO,BASICOS,VARIOS_3_MAS,NO_TRABAJA,CON_NINOS_1_2,COGNITIVA,NINGUNO,NORMAL,2–2.99,3–3.99,3–3.99,3–3.99
5,0,M,9,Servicio público,Alta frecuencia,Recursos propios,CON_CARGAS,No,Diurno,Propia pagada,Zona urbana,Si,Si,0,Si,No,No,Con poca frecuencia,Heterosexual,Municipios Aledaños,Superior,Superior,Sí,No,No étnico,ALTO,BASICOS,POCOS_1_2,NO_TRABAJA,HOGAR_SIN_NINOS,COGNITIVA,NINGUNO,NORMAL,3–3.99,3–3.99,3–3.99,3–3.99
13,1,F,5,Servicio público,Baja frecuencia,Otro / No aplica,SIN_CARGAS,Si,Diurno,Arrendada,Zona rural,Si,Si,0,Si,No,No responde,Casi nunca,No responde,Municipios Aledaños,Básica,Media,No,No,No étnico,BAJO,BASICOS,POCOS_1_2,NO_TRABAJA,HOGAR_SIN_NINOS,COGNITIVA,NINGUNO,NORMAL,3–3.99,2–2.99,2–2.99,1–1.99
3,0,M,9,A pie,Baja frecuencia,Otro / No aplica,SIN_CARGAS,No,Diurno,Arrendada,Zona urbana,Si,No,0,Si,No,No,Frecuentemente,Heterosexual,Comuna Centro,Media,Media,No,No,No étnico,BAJO,BASICOS,VARIOS_3_MAS,NO_TRABAJA,CON_NINOS_1_2,COGNITIVA,BAJO,NORMAL,3–3.99,3–3.99,3–3.99,3–3.99
3,0,M,8,A pie,Baja frecuencia,Recursos propios,SIN_CARGAS,No,Diurno,Arrendada,Zona urbana,Si,No,0,No,No,No,Casi nunca,No responde,Comuna Centro,Básica,Básica,No,No,No étnico,MEDIO,COMPLETOS,POCOS_1_2,NO_TRABAJA,CON_NINOS_1_2,COGNITIVA,NINGUNO,NORMAL,3–3.99,3–3.99,3–3.99,3–3.99
4,1,M,7,A pie,Alta frecuencia,Beca,CON_CARGAS,No,Diurno,Arrendada,Zona urbana,No,No,0,Si,No,No,Con poca frecuencia,No responde,Comuna Sur Occidental,Básica,Media,No,No,No étnico,MEDIO,COMPLETOS,VARIOS_3_MAS,NO_TRABAJA,HOGAR_SIN_NINOS,COGNITIVA,NINGUNO,SOBREPESO,3–3.99,3–3.99,3–3.99,3–3.99
7,1,M,6,A pie,Alta frecuencia,Recursos propios,SIN_CARGAS,Si,Mixto,Arrendada,Zona urbana,Si,No,0,Si,No,No,Con poca frecuencia,No responde,Comuna Occidental,Media,Superior,No,No,No étnico,MEDIO,BASICOS,POCOS_1_2,PARCIAL_1_20,SOLO_SIN_NINOS,COGNITIVA,NINGUNO,NORMAL,Sin nota,Sin nota,2–2.99,2–2.99
3,0,M,9,A pie,Baja frecuencia,Beca,SIN_CARGAS,Si,Diurno,Arrendada,Zona urbana,No,Si,0,No,No,No,Nunca,Heterosexual,Comuna Sur Oriental,Media,Superior,No,No,No étnico,BAJO,COMPLETOS,VARIOS_3_MAS,PARCIAL_1_20,CON_NINOS_1_2,COGNITIVA,NINGUNO,NORMAL,2–2.99,3–3.99,3–3.99,3–3.99
1,0,F,9,A pie,Baja frecuencia,Beca,SIN_CARGAS,No,Diurno,Propia pagandose,Zona urbana,Si,Si,0,No,No,No,Con poca frecuencia,No responde,Comuna Centro,Media,Media,No,No,No étnico,BAJO,COMPLETOS,VARIOS_3_MAS,NO_TRABAJA,HOGAR_SIN_NINOS,COGNITIVA,NINGUNO,OBESIDAD,3–3.99,3–3.99,4–5,4–5
2,0,M,9,Servicio público,Baja frecuencia,Beca,SIN_CARGAS,Si,Diurno,Arrendada,Zona urbana,Si,No,0,No,No,No,Con poca frecuencia,Heterosexual,Comuna Oriental,Superior,Media,No,No,No étnico,MEDIO,BASICOS,POCOS_1_2,NO_TRABAJA,CON_NINOS_1_2,COGNITIVA,BAJO,SOBREPESO,3–3.99,4–5,3–3.99,3–3.99
5,0,M,9,Vehículo motorizado,Alta frecuencia,Otro / No aplica,SIN_CARGAS,No,Diurno,Propia pagandose,Zona urbana,No,Si,0,No,No,No,Con poca frecuencia,Heterosexual,Comuna Norte,Superior,Superior,No,No,No étnico,BAJO,COMPLETOS,NINGUNO,NO_TRABAJA,SOLO_SIN_NINOS,COGNITIVA,BAJO,SOBREPESO,3–3.99,4–5,3–3.99,4–5
1,0,M,9,A pie,Baja frecuencia,Recursos propios,SIN_CARGAS,Si,Diurno,Arrendada,Zona urbana,Si,Si,0,No,No,No responde,Frecuentemente,No responde,Comuna Sur Oriental,Básica,Básica,No,No,No étnico,BAJO,COMPLETOS,POCOS_1_2,NO_TRABAJA,CON_NINOS_1_2,COGNITIVA,NINGUNO,NORMAL,4–5,4–5,4–5,4–5
